Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,     236208, 0,0.00,41.375, 49.386, 49.604, 43.405, 0.952605, 13.243,30,  -, -, 0.00%,  0.00%,  0.00%, 3.18%,  2.32%, 14.06%, 5.05%,  1.73%, 16.90%, 5.84%,  2.03%, 23.90%,25.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 20047.49, 1566.46, 4985.56, 89812.13 , 19, 253, 117.68, 76, 149, 131.02, 90, 179, 129.25, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 128.0, 0.0, 166.0, 0.0, 715.0, 0.0, 281.0, 6.869, 139
1, P-SLICE,    4, 32.00,       3512, 0,59.02,41.173, 49.387, 49.590, 43.252, 0.951039, 13.101,27, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.24%,  0.08%,  0.16%, 0.00%,  0.00%,  0.24%,  0.56%,  3.78%,  0.00%,  0.00%,  0.08%,  0.56%, 23.91%, 41.87%, 26.25%,  2.25%, 20432.21, 1498.43, 5334.76, 20957.44 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.43%,0.00%, 0.19%, 0.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.90%,0.00%, 2.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 6.82%, 39.77%,0.00%, 28.41%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 199.0, 41.0, 57.0, 49.0, 24.0, 35.0, 276.0, 2.156, 1
2, B-SLICE,    2, 33.00,       1640, 0,5.16,41.186, 49.396, 49.592, 43.263, 0.951308, 13.125,30, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.28%, 0.00%,  0.00%,  0.41%,  1.11%,  1.66%,  0.00%,  0.14%,  0.14%,  0.28%, 51.59%, 41.22%,  0.97%,  2.21%, 20280.68, 1496.56, 5367.43, 20400.67 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.01%,0.00%, 0.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 31.25%, 18.75%, 0.00%, 0.00%, 0.00%, 0.00%, 6.25%, 56.25%,0.00%, 21.88%, 15.62%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 208.0, 72.0, 38.0, 14.0, 35.0, 3.0, 299.0, 3.091, 12
3, b-SLICE,    1, 34.00,       1096, 0,4.99,41.231, 49.391, 49.604, 43.298, 0.951716, 13.162,32, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.15%, 0.00%,  0.00%,  0.00%,  0.30%,  0.15%,  0.00%,  0.00%,  0.00%,  0.00%, 57.10%, 40.21%,  1.20%,  0.90%, 20064.55, 1495.55, 5346.55, 20167.69 , 19, 253, 117.69, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.00%,0.00%, 10.00%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%, 12.50%, 75.00%,0.00%, 0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 216.0, 76.0, 29.0, 10.0, 38.0, 0.0, 312.0, 3.329, 11
4, b-SLICE,    3, 34.00,        640, 0,5.23,41.163, 49.387, 49.591, 43.245, 0.951019, 13.100,31, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.22%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 97.39%,  2.40%,  0.00%,  0.00%, 20369.73, 1498.34, 5425.90, 20369.73 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 34.0, 5.0, 40.0, 0.0, 311.0, 4.598, 7
5, P-SLICE,    9, 32.00,       6128, 0,5.28,40.937, 49.330, 49.416, 43.046, 0.949611, 12.977,26, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.15%, 0.15%,  0.15%,  1.50%, 0.00%, 12.01%,  4.80%,  1.05%,  9.91%,  0.00%,  0.00%,  0.30%,  0.30%, 51.20%, 10.36%,  3.30%,  4.80%, 21684.84, 1539.10, 5614.52, 23042.59 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 81.00%,0.00%, 4.28%, 14.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.32%,0.00%, 3.96%, 27.72%, 0.00%, 0.00%, 0.00%, 0.00%, 3.12%, 75.00%,0.00%, 15.62%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%, 10.71%, 30.36%,0.00%, 30.36%, 28.57%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 11.0, 22.0, 1.0, 58.0, 0.0, 292.0, 5.282, 49
6, B-SLICE,    7, 33.00,       1920, 0,5.29,40.930, 49.325, 49.439, 43.043, 0.949714, 12.986,29, 4 2 0 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.19%,  0.19%, 0.00%,  0.78%,  0.58%,  1.36%,  1.95%,  0.00%,  0.00%,  0.00%,  0.00%, 85.58%,  3.51%,  2.73%,  3.12%, 21519.43, 1535.43, 5716.38, 21710.10 , 19, 253, 118.65, 75, 150, 131.00, 90, 180, 129.23, 0.00%, 99.10%,0.00%, 0.45%, 0.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.71%,0.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 28.57%, 4.76%, 0.00%, 0.00%, 0.00%, 0.00%, 7.14%, 57.14%,0.00%, 25.00%, 10.71%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 8.0, 20.0, 10.0, 41.0, 0.0, 309.0, 3.042, 11
7, b-SLICE,    5, 34.00,       1376, 0,5.22,41.106, 49.384, 49.586, 43.201, 0.950766, 13.077,32, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.41%,  0.41%,  1.02%,  0.82%,  0.00%,  0.41%,  0.41%,  0.41%, 90.39%,  3.07%,  2.25%,  0.41%, 20664.60, 1499.84, 5464.12, 20813.22 , 19, 253, 117.67, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 99.55%,0.00%, 0.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 89.47%,0.00%, 10.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 72.22%,0.00%, 11.11%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 37.50%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 5.0, 22.0, 13.0, 38.0, 0.0, 325.0, 2.511, 3
8, b-SLICE,    6, 34.00,       1256, 0,3.49,40.911, 49.333, 49.440, 43.030, 0.949629, 12.978,32, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.41%,  0.41%,  0.62%,  0.41%,  0.00%,  0.00%,  0.00%,  0.00%, 90.95%,  3.70%,  2.26%,  1.23%, 21605.38, 1533.77, 5734.27, 21687.81 , 19, 253, 118.66, 76, 149, 131.00, 90, 179, 129.23, 0.00%, 99.55%,0.00%, 0.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 90.00%,0.00%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.57%,0.00%, 14.29%, 7.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 1.0, 53.0, 13.0, 35.0, 0.0, 353.0, 2.609, 10
9, b-SLICE,    8, 34.00,        888, 0,5.29,40.920, 49.327, 49.413, 43.033, 0.949630, 12.978,31, 7 4 2 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.21%,  0.64%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 95.30%,  2.78%,  1.07%,  0.00%, 21553.60, 1539.64, 5754.38, 21568.81 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.86%,0.00%, 7.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 25.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 49.0, 9.0, 32.0, 0.0, 348.0, 2.678, 6
