Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 32.34,     211488, 0,0.00,25.087,40.534, 48.461, 48.779, 42.555, 0.943135, 12.452,0,  -, -, 0.00%,  0.00%,  0.00%, 6.67%,  1.95%, 12.61%, 5.85%,  1.03%, 15.40%, 5.65%,  1.79%, 23.49%,25.56%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 23747.27, 1908.62, 6159.05, 92340.97 , 19, 253, 117.68, 76, 149, 131.02, 90, 179, 129.25, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 19.0, 0.0, 93.0, 0.0, 510.0, 0.0, 100.0, 6.211, 216
1, P-SLICE,    1, 34.46,       6672, 0,0.00,28.000,40.472, 48.536, 48.829, 42.524, 0.942446, 12.399,0, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.90%, 0.64%,  4.50%,  2.83%,  2.19%,  5.66%,  0.00%,  0.00%,  0.00%,  0.00%, 44.92%, 28.70%,  4.50%,  5.15%, 23889.68, 1811.46, 6277.88, 24193.86 , 19, 253, 117.69, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 90.89%,0.00%, 2.08%, 7.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.02%,0.00%, 2.04%, 6.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 67.31%,0.00%, 9.62%, 23.08%, 0.00%, 0.00%, 0.00%, 0.00%, 7.69%, 43.96%,0.00%, 29.67%, 18.68%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 8.0, 0.0, 14.0, 0.0, 53.0, 0.0, 22.0, 5.313, 115
2, P-SLICE,    2, 33.86,       6272, 0,0.00,28.000,40.443, 48.513, 48.832, 42.500, 0.942008, 12.366,0, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.11%,  0.00%,  0.45%, 0.67%,  1.57%,  2.13%,  1.01%,  6.73%,  0.00%,  0.56%,  0.34%,  0.67%, 37.93%, 39.28%,  3.25%,  5.27%, 24048.12, 1812.17, 6295.60, 24441.34 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 96.02%,0.00%, 1.14%, 2.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.92%,0.00%, 2.67%, 2.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.05%,0.00%, 19.51%, 2.44%, 0.00%, 0.00%, 0.00%, 0.00%, 4.24%, 44.92%,0.00%, 26.27%, 24.58%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 7.0, 0.0, 15.0, 0.0, 65.0, 0.0, 22.0, 5.833, 125
3, P-SLICE,    3, 34.45,       5488, 0,0.00,28.000,40.415, 48.512, 48.829, 42.478, 0.941619, 12.337,0, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.24%, 0.48%,  1.58%,  2.30%,  2.30%,  7.27%,  0.00%,  1.09%,  1.09%,  1.09%, 43.27%, 32.85%,  3.88%,  2.55%, 24192.80, 1810.11, 6322.76, 24506.55 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 96.49%,0.00%, 2.16%, 1.35%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.65%,0.00%, 3.34%, 3.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.33%,0.00%, 21.67%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.17%, 32.61%,0.00%, 33.70%, 31.52%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 8.0, 0.0, 15.0, 0.0, 70.0, 0.0, 22.0, 6.044, 119
4, P-SLICE,    4, 35.63,       1464, 0,0.00,28.000,40.414, 48.518, 48.835, 42.480, 0.941605, 12.336,0, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.12%,  1.44%,  0.16%,  0.32%,  0.00%,  1.12%,  0.00%,  0.00%, 62.02%, 33.17%,  0.32%,  0.32%, 24173.28, 1807.46, 6345.28, 24184.18 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 98.22%,0.00%, 1.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.96%,0.00%, 3.14%, 0.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 0.00%, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 7.0, 0.0, 13.0, 0.0, 68.0, 0.0, 20.0, 7.007, 178
5, P-SLICE,    5, 34.43,       5248, 0,0.00,28.000,40.405, 48.525, 48.835, 42.474, 0.941568, 12.334,0, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.38%, 0.89%,  1.15%,  1.66%,  2.30%,  7.41%,  0.00%,  0.77%,  0.00%,  0.00%, 47.89%, 28.74%,  4.09%,  4.47%, 24233.70, 1805.91, 6336.41, 24598.78 , 19, 253, 117.67, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 97.66%,0.00%, 1.82%, 0.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.41%, 94.29%,0.00%, 2.45%, 2.86%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.00%,0.00%, 20.00%, 16.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.12%, 36.08%,0.00%, 27.84%, 31.96%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 14.0, 1.0, 66.0, 0.0, 19.0, 5.858, 129
6, P-SLICE,    6, 33.54,       9512, 0,0.00,28.000,40.257, 48.509, 48.707, 42.345, 0.940582, 12.261,0, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.11%, 0.54%,  5.18%,  8.74%,  3.13%,  8.52%,  0.00%,  1.73%,  0.32%,  0.43%, 32.79%, 28.59%,  6.15%,  3.78%, 25262.70, 1835.49, 6473.44, 25803.31 , 19, 253, 118.66, 76, 149, 131.00, 90, 179, 129.23, 0.00%, 86.36%,0.00%, 6.82%, 6.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.72%,0.00%, 8.91%, 13.65%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 67.42%,0.00%, 10.11%, 22.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.84%, 32.77%,0.00%, 33.61%, 32.77%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 7.0, 18.0, 1.0, 79.0, 0.0, 30.0, 5.556, 131
7, P-SLICE,    7, 33.98,       5592, 0,0.00,28.000,40.248, 48.527, 48.708, 42.340, 0.940531, 12.257,0, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.12%, 0.00%,  0.00%,  0.60%, 0.36%,  1.81%,  1.93%,  1.44%,  6.50%,  0.00%,  1.68%,  0.12%,  0.48%, 42.72%, 32.73%,  3.49%,  6.02%, 25147.90, 1833.22, 6509.22, 25496.10 , 19, 253, 118.65, 75, 150, 131.00, 90, 180, 129.23, 0.00%, 95.95%,0.00%, 2.70%, 1.35%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.70%,0.00%, 3.64%, 1.66%, 0.00%, 0.00%, 0.00%, 0.00%, 2.33%, 69.77%,0.00%, 18.60%, 9.30%, 0.00%, 0.00%, 0.00%, 0.00%, 4.42%, 47.79%,0.00%, 25.66%, 22.12%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 70.0, 0.0, 21.0, 6.013, 138
8, P-SLICE,    8, 34.43,       5336, 0,0.00,28.000,40.251, 48.539, 48.679, 42.340, 0.940491, 12.254,0, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.12%,  0.00%, 0.25%,  0.00%,  0.12%, 0.99%,  0.99%,  1.73%,  1.49%,  9.17%,  0.00%,  0.87%,  0.99%,  2.73%, 47.21%, 25.28%,  1.98%,  6.07%, 25114.24, 1834.89, 6500.32, 25511.19 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 97.94%,0.00%, 2.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.78%,0.00%, 4.44%, 1.78%, 0.00%, 0.00%, 0.00%, 0.00%, 2.70%, 64.86%,0.00%, 21.62%, 10.81%, 0.00%, 0.00%, 0.00%, 0.00%, 2.03%, 47.97%,0.00%, 21.62%, 28.38%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 68.0, 0.0, 20.0, 5.891, 39
9, P-SLICE,    9, 34.43,       4424, 0,0.00,28.000,40.236, 48.537, 48.718, 42.334, 0.940415, 12.249,0, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.80%,  0.27%,  1.20%,  1.86%,  7.04%,  0.00%,  0.40%,  0.00%,  0.00%, 51.26%, 29.35%,  2.92%,  4.91%, 25209.02, 1827.20, 6502.29, 25504.27 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 99.48%,0.00%, 0.00%, 0.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.14%,0.00%, 3.43%, 0.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 61.11%,0.00%, 33.33%, 5.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.11%,0.00%, 27.78%, 31.11%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 13.0, 0.0, 65.0, 0.0, 18.0, 5.860, 63
