Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 32.86,     511912, 0,0.00,25.087,14,  -, -,10.68%,  9.53%, 15.47%,12.42%, 11.06%, 40.85%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 10686.91, 593.74, 944.59, 129683.83 , 1, 237, 77.90, 95, 162, 136.04, 99, 184, 120.80, 100.05%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.03%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 181.0, 0.0, 149.0, 0.0, 274.0, 0.0, 328.0, 11.902, 677
1, P-SLICE,    4, 32.83,     138072, 0,-3676757.00,28.000,11, 0 , -, 7.68%, 12.55%, 14.45%, 1.69%,  2.41%,  3.91%, 0.00%, 12.52%, 23.14%,  0.00%,  1.31%, 15.78%,  4.57%, 12564.31, 616.53, 966.39, 25458.01 , 2, 239, 80.19, 96, 164, 136.32, 99, 183, 120.79, 55.11%, 25.11%,0.00%, 5.91%, 14.00%, 0.00%, 0.00%, 0.00%, 0.00%, 21.60%, 15.90%,0.00%, 17.63%, 44.87%, 0.00%, 0.00%, 0.00%, 0.00%, 311.0, 0.0, 29.0, 0.0, 103.0, 0.0, 318.0, 11.516, 711
2, B-SLICE,    2, 32.88,      45872, 0,-3667410.00,30.271,14, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.89%,  8.58%,  0.00%,  1.12%, 77.12%,  5.29%, 10848.25, 578.97, 947.70, 14263.11 , 3, 236, 79.05, 98, 162, 136.11, 99, 182, 120.84, 0.00%, 90.94%,0.00%, 5.02%, 4.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.76%,0.00%, 31.36%, 25.88%, 0.00%, 0.00%, 0.00%, 0.00%, 321.0, 0.0, 449.0, 0.0, 58.0, 0.0, 758.0, 9.613, 552
3, b-SLICE,    1, 34.32,      16624, 0,3.45,29.741,16, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.31%,  3.44%,  0.00%,  0.63%, 88.62%,  4.00%, 10212.07, 561.89, 920.88, 11263.27 , 5, 237, 78.77, 98, 162, 136.14, 100, 182, 120.87, 0.00%, 96.54%,0.00%, 1.86%, 1.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 57.33%,0.00%, 24.14%, 18.53%, 0.00%, 0.00%, 0.00%, 0.00%, 330.0, 0.0, 450.0, 0.0, 53.0, 0.0, 772.0, 10.429, 443
4, b-SLICE,    3, 33.77,      26528, 0,-3668709.00,29.741,15, 2 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.99%,  6.32%,  0.00%,  0.91%, 74.98%,  8.80%, 11362.84, 584.72, 948.41, 12961.00 , 1, 237, 79.94, 94, 164, 136.34, 99, 181, 120.83, 0.00%, 89.61%,0.00%, 3.95%, 6.80%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 60.57%,0.00%, 17.28%, 22.15%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 449.0, 0.0, 53.0, 0.0, 772.0, 10.326, 574
5, P-SLICE,    8, 32.74,     165288, 0,-3725320.00,28.000,11, 4 , -, 7.27%, 12.40%, 12.55%, 1.73%,  1.80%,  3.04%, 0.00%, 11.88%, 29.16%,  0.00%,  0.88%, 15.36%,  3.92%, 13219.90, 676.37, 986.06, 28660.81 , 1, 241, 82.15, 99, 161, 136.46, 97, 187, 120.58, 54.23%, 25.81%,0.00%, 5.51%, 14.49%, 0.00%, 0.00%, 0.00%, 0.00%, 16.22%, 11.83%,0.00%, 20.74%, 51.21%, 0.00%, 0.00%, 0.00%, 0.00%, 424.0, 0.0, 25.0, 0.0, 107.0, 0.0, 747.0, 10.965, 704
6, B-SLICE,    6, 32.87,      44032, 0,-3695950.00,30.271,14, 4 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.16%,  8.37%,  0.00%,  0.85%, 75.27%,  6.35%, 11715.62, 650.49, 952.50, 15478.35 , 3, 241, 81.16, 99, 162, 136.41, 98, 183, 120.67, 0.00%, 89.29%,0.00%, 5.10%, 5.80%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.32%,0.00%, 28.00%, 25.89%, 0.00%, 0.00%, 0.00%, 0.00%, 3.0, 0.0, 456.0, 1.0, 50.0, 0.0, 1204.0, 9.390, 463
7, b-SLICE,    5, 33.93,      25000, 0,3.66,29.741,16, 4 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.34%,  4.33%,  0.00%,  0.65%, 82.16%,  5.53%, 11261.50, 603.07, 938.94, 12929.02 , 1, 240, 80.57, 100, 163, 136.37, 100, 181, 120.82, 0.00%, 91.91%,0.00%, 4.14%, 4.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.77%,0.00%, 22.40%, 18.83%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 452.0, 0.0, 48.0, 0.0, 1215.0, 9.182, 521
8, b-SLICE,    7, 33.94,      28696, 0,-3706278.00,29.741,15, 6 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.08%,  6.06%,  0.00%,  1.06%, 77.76%,  7.05%, 12022.33, 676.24, 955.34, 13861.52 , 0, 242, 82.03, 101, 161, 136.49, 97, 184, 120.63, 0.00%, 90.68%,0.00%, 3.65%, 5.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 57.24%,0.00%, 19.63%, 23.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 452.0, 0.0, 48.0, 0.0, 1205.0, 9.335, 519
9, P-SLICE,   12, 33.00,     183056, 0,-3759291.00,28.000,11, 8 , -, 7.21%, 12.28%, 13.82%, 1.54%,  1.59%,  4.05%, 0.00%, 12.96%, 29.31%,  0.00%,  0.37%, 14.45%,  2.43%, 13679.58, 748.96, 1006.20, 31433.39 , 1, 239, 84.20, 100, 163, 136.93, 98, 192, 120.39, 54.91%, 23.82%,0.00%, 6.07%, 15.29%, 0.00%, 0.00%, 0.00%, 0.00%, 18.35%, 7.14%,0.00%, 22.55%, 52.23%, 0.00%, 0.00%, 0.00%, 0.00%, 436.0, 0.0, 17.0, 0.0, 113.0, 0.0, 948.0, 9.992, 540
