Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 30.94,     628208, 0,0.00,25.087,14,  -, -, 8.80%,  7.86%, 16.71%,13.53%, 12.15%, 40.95%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 6674.43, 437.62, 744.49, 127925.46 , 1, 237, 77.90, 95, 162, 136.04, 99, 184, 120.80, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.0, 0.0, 33.0, 0.0, 298.0, 0.0, 103.0, 10.774, 399
1, P-SLICE,    4, 32.10,     131872, 0,-3676757.00,28.000,11, 0 , -, 7.32%, 14.54%, 16.10%, 1.22%,  2.46%,  2.72%, 0.00%, 11.59%, 28.86%,  0.00%,  0.72%, 10.27%,  4.19%, 9184.82, 522.52, 806.37, 22201.70 , 2, 239, 80.19, 96, 164, 136.32, 99, 183, 120.79, 63.41%, 17.17%,0.00%, 5.75%, 13.62%, 0.00%, 0.00%, 0.00%, 0.00%, 15.96%, 12.27%,0.00%, 20.41%, 51.55%, 0.00%, 0.00%, 0.00%, 0.00%, 85.0, 0.0, 33.0, 22.0, 143.0, 7.0, 94.0, 7.407, 562
2, B-SLICE,    2, 33.47,      38360, 0,-3667410.00,30.271,14, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.84%,  6.82%,  0.00%,  0.64%, 79.28%,  4.42%, 7773.29, 465.40, 779.40, 11145.12 , 3, 236, 79.05, 98, 162, 136.11, 99, 182, 120.84, 0.00%, 90.06%,0.00%, 5.76%, 4.30%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.61%,0.00%, 30.97%, 26.42%, 0.00%, 0.00%, 0.00%, 0.00%, 95.0, 3.0, 34.0, 18.0, 55.0, 6.0, 118.0, 6.067, 370
3, b-SLICE,    1, 36.00,       9168, 0,3.45,30.271,16, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.38%,  1.67%,  0.00%,  0.33%, 96.15%,  0.47%, 7628.72, 442.43, 760.49, 8375.87 , 5, 237, 78.77, 98, 162, 136.14, 100, 182, 120.87, 0.00%, 98.58%,0.00%, 0.75%, 0.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.35%,0.00%, 36.76%, 30.88%, 0.00%, 0.00%, 0.00%, 0.00%, 106.0, 1.0, 36.0, 13.0, 46.0, 2.0, 134.0, 4.823, 92
4, b-SLICE,    3, 36.00,      12472, 0,-3668709.00,30.271,15, 2 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.36%,  2.79%,  0.00%,  0.21%, 91.93%,  1.71%, 9224.23, 482.61, 823.86, 10338.62 , 1, 237, 79.94, 94, 164, 136.34, 99, 181, 120.83, 0.00%, 96.53%,0.00%, 1.88%, 1.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.91%,0.00%, 28.03%, 31.06%, 0.00%, 0.00%, 0.00%, 0.00%, 4.0, 0.0, 37.0, 2.0, 56.0, 0.0, 133.0, 8.543, 359
5, P-SLICE,    8, 32.35,     160056, 0,-3725320.00,28.000,11, 4 , -, 5.96%, 12.33%, 14.43%, 1.29%,  0.96%,  2.73%, 0.00%, 11.04%, 33.08%,  0.00%,  1.11%, 13.87%,  3.18%, 10040.06, 584.10, 844.62, 25383.90 , 1, 241, 82.15, 99, 161, 136.46, 97, 187, 120.58, 56.82%, 24.09%,0.00%, 6.41%, 12.77%, 0.00%, 0.00%, 0.00%, 0.00%, 11.78%, 10.16%,0.00%, 22.89%, 55.29%, 0.00%, 0.00%, 0.00%, 0.00%, 5.0, 0.0, 28.0, 0.0, 124.0, 0.0, 112.0, 9.649, 326
6, B-SLICE,    6, 34.00,      35648, 0,-3695950.00,30.271,14, 4 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.09%,  6.80%,  0.00%,  0.64%, 80.41%,  4.06%, 9197.32, 580.63, 821.73, 12831.84 , 3, 241, 81.16, 99, 162, 136.41, 98, 183, 120.67, 0.00%, 90.86%,0.00%, 5.22%, 3.96%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.88%,0.00%, 29.41%, 29.71%, 0.00%, 0.00%, 0.00%, 0.00%, 4.0, 0.0, 25.0, 7.0, 54.0, 0.0, 131.0, 7.703, 112
7, b-SLICE,    5, 36.00,      13104, 0,3.66,30.271,16, 4 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.76%,  2.76%,  0.00%,  0.32%, 92.80%,  1.36%, 9328.71, 521.66, 829.44, 10522.95 , 1, 240, 80.57, 100, 163, 136.37, 100, 181, 120.82, 0.00%, 97.27%,0.00%, 1.17%, 1.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.90%,0.00%, 29.03%, 33.06%, 0.00%, 0.00%, 0.00%, 0.00%, 4.0, 0.0, 18.0, 0.0, 47.0, 0.0, 141.0, 10.961, 329
8, b-SLICE,    7, 36.00,      13968, 0,-3706278.00,30.271,15, 6 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.45%,  2.95%,  0.00%,  0.39%, 91.15%,  2.06%, 10176.54, 608.40, 867.74, 11498.92 , 0, 242, 82.03, 101, 161, 136.49, 97, 184, 120.63, 0.00%, 96.59%,0.00%, 1.78%, 1.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.39%,0.00%, 25.00%, 29.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 19.0, 0.0, 50.0, 0.0, 136.0, 7.619, 405
9, P-SLICE,   12, 32.42,     187816, 0,-3759291.00,28.000,11, 8 , -, 7.43%, 12.80%, 14.47%, 1.47%,  1.59%,  3.48%, 0.00%, 12.31%, 36.03%,  0.00%,  0.47%,  7.95%,  1.99%, 10386.04, 641.21, 861.05, 28746.93 , 1, 239, 84.20, 100, 163, 136.93, 98, 192, 120.39, 63.24%, 14.49%,0.00%, 6.44%, 16.01%, 0.00%, 0.00%, 0.00%, 0.00%, 14.51%, 5.46%,0.00%, 24.17%, 55.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 17.0, 0.0, 120.0, 0.0, 107.0, 9.946, 644
