Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 25.75,     464904, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 2.36%,  3.55%, 10.05%, 5.59%,  3.18%, 16.11%, 5.39%,  2.10%, 23.10%,28.58%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 12663.83, 1123.11, 3143.76, 84644.44 , 18, 253, 117.07, 76, 149, 131.05, 90, 179, 129.14, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 186.0, 0.0, 148.0, 0.0, 824.0, 0.0, 325.0, 6.507, 204
1, P-SLICE,    5, 30.89,      18832, 0,-1629610.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.18%,  0.05%,  0.28%, 0.55%,  0.37%,  1.62%, 1.62%,  0.79%,  6.47%, 0.00%,  0.37%,  1.29%,  1.71%,  3.37%,  0.00%,  0.32%,  0.69%,  2.73%,  6.66%, 44.94%, 22.65%,  3.33%, 12977.56, 1086.46, 3589.04, 17588.11 , 15, 252, 117.22, 76, 150, 131.04, 90, 179, 129.16, 0.00%, 94.74%,0.00%, 0.66%, 4.61%, 0.00%, 0.00%, 0.00%, 0.00%, 1.08%, 96.17%,0.00%, 0.39%, 2.36%, 0.00%, 0.00%, 0.00%, 0.00%, 9.21%, 84.59%,0.00%, 2.18%, 4.02%, 0.00%, 0.00%, 0.00%, 0.00%, 48.48%, 33.08%,0.00%, 11.11%, 7.32%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 199.0, 77.0, 60.0, 53.0, 30.0, 34.0, 300.0, 2.387, 35
2, B-SLICE,    3, 34.63,       3568, 0,-1624587.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.23%,  1.15%,  1.38%,  6.11%,  0.00%,  0.69%,  1.04%,  0.58%, 41.18%, 37.60%,  4.73%,  5.31%, 13448.50, 1085.69, 3597.83, 13927.59 , 18, 252, 117.16, 76, 149, 131.05, 91, 179, 129.15, 0.00%, 99.44%,0.00%, 0.28%, 0.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.08%,0.00%, 1.75%, 1.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.65%,0.00%, 16.13%, 3.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.04%,0.00%, 40.38%, 10.58%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 216.0, 100.0, 36.0, 18.0, 23.0, 10.0, 331.0, 3.011, 44
3, b-SLICE,    1, 35.93,       2224, 0,4.75,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.51%,  1.14%,  3.04%,  0.00%,  0.00%,  0.25%,  0.25%, 46.77%, 38.28%,  5.96%,  3.80%, 13421.10, 1077.57, 3590.04, 13626.95 , 18, 252, 117.10, 76, 149, 131.05, 90, 179, 129.14, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.69%,0.00%, 1.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 84.48%,0.00%, 15.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 57.14%,0.00%, 39.29%, 3.57%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 229.0, 104.0, 33.0, 6.0, 31.0, 0.0, 362.0, 3.289, 36
4, b-SLICE,    2, 35.94,       2024, 0,-1623000.00,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.05%,  0.92%,  2.37%,  0.00%,  0.26%,  0.00%,  0.00%, 48.62%, 40.05%,  2.77%,  3.95%, 13682.78, 1081.45, 3609.26, 13778.31 , 19, 252, 117.13, 76, 149, 131.05, 91, 179, 129.15, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.45%,0.00%, 2.23%, 0.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 31.25%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 44.0, 3.0, 36.0, 0.0, 364.0, 5.513, 64
5, b-SLICE,    4, 35.95,       1936, 0,-1626905.00,30.271,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.57%,  0.71%,  2.84%,  0.00%,  0.00%,  0.00%,  0.00%, 54.75%, 34.33%,  3.40%,  3.40%, 13576.20, 1080.32, 3616.27, 13767.27 , 14, 252, 117.19, 76, 149, 131.04, 91, 179, 129.15, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.37%,0.00%, 1.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 82.76%,0.00%, 17.24%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.55%,0.00%, 36.36%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 36.0, 0.0, 32.0, 0.0, 354.0, 5.369, 27
6, P-SLICE,   10, 31.92,      14992, 0,-1634219.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.06%,  0.18%, 0.62%,  0.49%,  0.74%, 0.62%,  0.37%,  2.77%, 0.00%,  0.43%,  1.85%,  1.85%,  6.28%,  0.00%,  0.00%,  0.06%,  1.17%, 12.57%, 51.76%, 11.83%,  6.28%, 13195.58, 1079.12, 3602.61, 15655.17 , 17, 252, 117.35, 76, 149, 131.03, 90, 179, 129.17, 0.00%, 96.68%,0.00%, 0.95%, 2.37%, 0.00%, 0.00%, 0.00%, 0.00%, 0.57%, 96.00%,0.00%, 0.69%, 2.74%, 0.00%, 0.00%, 0.00%, 0.00%, 11.86%, 76.28%,0.00%, 6.72%, 5.14%, 0.00%, 0.00%, 0.00%, 0.00%, 21.48%, 42.61%,0.00%, 23.94%, 11.97%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 1.0, 30.0, 0.0, 36.0, 0.0, 324.0, 5.053, 71
7, B-SLICE,    8, 34.83,       3392, 0,-1632166.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.08%,  0.74%,  1.07%,  3.86%,  0.00%,  0.16%,  0.82%,  0.49%, 20.61%, 61.25%,  7.72%,  3.20%, 13562.38, 1066.76, 3648.96, 13765.71 , 17, 252, 117.30, 76, 149, 131.03, 90, 179, 129.16, 0.00%, 99.60%,0.00%, 0.00%, 0.40%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.94%,0.00%, 0.66%, 0.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.89%,0.00%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.91%,0.00%, 42.39%, 8.70%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 24.0, 0.0, 33.0, 0.0, 347.0, 6.780, 114
8, b-SLICE,    6, 36.00,       1024, 0,59.53,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.37%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 42.79%, 50.87%,  5.97%,  0.00%, 12912.13, 1076.34, 3631.51, 12912.13 , 15, 252, 117.22, 76, 150, 131.04, 90, 179, 129.16, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.27%,0.00%, 0.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 37.0, 5.0, 51.0, 0.0, 372.0, 3.507, 10
9, b-SLICE,    7, 35.94,       1992, 0,-1631940.00,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.58%,  0.81%,  2.54%,  0.00%,  0.46%,  0.12%,  0.23%, 39.56%, 45.79%,  8.07%,  1.85%, 13789.78, 1076.83, 3661.40, 13964.41 , 16, 252, 117.24, 76, 150, 131.04, 90, 179, 129.16, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.77%,0.00%, 0.99%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.03%,0.00%, 8.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.00%,0.00%, 42.50%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 32.0, 0.0, 50.0, 0.0, 377.0, 6.480, 65
