Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 30.57,     483176, 0,0.00,25.087,14,  -, -,10.61%,  9.40%, 18.34%,11.61%, 10.12%, 39.92%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 2042.50, 233.02, 339.67, 113918.40 , 0, 238, 77.91, 94, 164, 136.10, 99, 184, 120.92, 100.05%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 102.0, 0.0, 36.0, 0.0, 268.0, 0.0, 137.0, 10.889, 409
1, P-SLICE,    4, 32.29,      98464, 0,-3370532.00,28.000,11, 0 , -, 7.84%, 13.26%, 14.51%, 0.88%,  0.86%,  2.37%, 0.00%, 13.92%, 21.21%,  0.00%,  0.88%, 19.79%,  4.48%, 2819.66, 259.60, 367.36, 12258.88 , 0, 240, 80.01, 101, 164, 136.29, 99, 184, 120.96, 51.42%, 28.57%,0.00%, 6.67%, 13.42%, 0.00%, 0.00%, 0.00%, 0.00%, 13.38%, 17.47%,0.00%, 21.19%, 47.96%, 0.00%, 0.00%, 0.00%, 0.00%, 113.0, 0.0, 36.0, 16.0, 116.0, 1.0, 100.0, 7.174, 429
2, B-SLICE,    2, 33.55,      29040, 0,-3329335.00,30.271,14, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.80%,  5.42%,  0.00%,  0.76%, 84.21%,  2.80%, 2443.54, 226.10, 319.98, 4802.35 , 0, 240, 79.08, 99, 164, 136.32, 99, 184, 121.01, 0.00%, 92.55%,0.00%, 4.47%, 3.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.62%,0.00%, 33.85%, 26.54%, 0.00%, 0.00%, 0.00%, 0.00%, 125.0, 0.0, 35.0, 11.0, 44.0, 0.0, 121.0, 6.262, 461
3, b-SLICE,    1, 36.00,       8784, 0,3.81,30.271,16, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.56%,  2.03%,  0.00%,  0.29%, 95.54%,  0.58%, 2530.17, 221.82, 312.81, 3086.75 , 0, 239, 78.73, 97, 164, 136.33, 99, 184, 121.02, 0.00%, 98.42%,0.00%, 1.09%, 0.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.00%,0.00%, 37.50%, 32.50%, 0.00%, 0.00%, 0.00%, 0.00%, 138.0, 0.0, 32.0, 0.0, 45.0, 0.0, 139.0, 11.466, 540
4, b-SLICE,    3, 36.00,      12184, 0,-3326101.00,30.271,15, 2 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.17%,  2.03%,  0.00%,  0.25%, 92.93%,  0.62%, 3129.48, 237.88, 350.71, 4062.77 , 0, 240, 79.78, 101, 164, 136.36, 99, 184, 121.03, 0.00%, 95.73%,0.00%, 1.50%, 2.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.00%,0.00%, 28.75%, 41.25%, 0.00%, 0.00%, 0.00%, 0.00%, 3.0, 0.0, 31.0, 0.0, 44.0, 0.0, 135.0, 9.058, 228
5, P-SLICE,    8, 32.55,     121296, 0,-3422696.00,28.000,11, 4 , -, 7.32%, 11.07%, 11.94%, 1.14%,  1.09%,  2.81%, 0.00%, 13.30%, 28.32%,  0.00%,  1.19%, 18.58%,  3.24%, 3448.42, 294.43, 409.73, 15650.74 , 0, 243, 81.97, 102, 164, 136.39, 98, 184, 120.79, 48.78%, 29.88%,0.00%, 6.87%, 14.51%, 0.00%, 0.00%, 0.00%, 0.00%, 13.34%, 11.73%,0.00%, 22.54%, 52.18%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 27.0, 0.0, 99.0, 0.0, 111.0, 11.477, 775
6, B-SLICE,    6, 34.00,      29168, 0,-3368253.00,30.271,14, 4 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.62%,  5.77%,  0.00%,  1.00%, 82.63%,  2.99%, 3107.84, 263.41, 358.40, 5799.70 , 1, 243, 81.11, 103, 164, 136.42, 99, 184, 120.98, 0.00%, 91.58%,0.00%, 4.40%, 4.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.85%,0.00%, 30.99%, 28.17%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 24.0, 0.0, 51.0, 0.0, 132.0, 10.377, 538
7, b-SLICE,    5, 36.00,      12168, 0,3.69,30.271,16, 4 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.84%,  1.34%,  0.00%,  0.25%, 93.40%,  1.16%, 3487.76, 270.48, 367.11, 4422.18 , 0, 242, 80.61, 103, 164, 136.38, 99, 184, 121.02, 0.00%, 96.16%,0.00%, 2.00%, 2.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.32%,0.00%, 31.58%, 17.11%, 0.00%, 0.00%, 0.00%, 0.00%, 1.0, 0.0, 22.0, 0.0, 55.0, 0.0, 145.0, 11.710, 355
8, b-SLICE,    7, 36.00,      13856, 0,-3385020.00,30.271,15, 6 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.48%,  2.37%,  0.00%,  0.14%, 91.22%,  1.79%, 3728.69, 273.93, 390.51, 4763.57 , 0, 241, 81.84, 102, 164, 136.45, 99, 184, 120.98, 0.00%, 95.58%,0.00%, 1.74%, 2.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.00%,0.00%, 25.83%, 29.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 23.0, 0.0, 43.0, 0.0, 138.0, 8.406, 543
9, P-SLICE,   12, 32.52,     139320, 0,-3471034.00,28.000,11, 8 , -, 6.78%, 11.32%, 13.09%, 1.07%,  1.15%,  3.50%, 0.00%, 12.75%, 31.09%,  0.00%,  0.37%, 16.61%,  2.27%, 3838.88, 345.15, 437.54, 17926.43 , 0, 244, 84.01, 102, 164, 136.82, 98, 188, 120.56, 51.57%, 27.47%,0.00%, 7.29%, 13.80%, 0.00%, 0.00%, 0.00%, 0.00%, 14.50%, 6.69%,0.00%, 22.65%, 56.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 22.0, 0.0, 104.0, 0.0, 108.0, 9.755, 585
