Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 32.07,     192336, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 6.31%,  2.80%, 16.48%, 4.20%,  1.30%, 14.64%, 5.88%,  1.76%, 22.11%,24.53%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 27799.85, 1995.54, 6291.98, 102551.10 , 18, 253, 117.07, 76, 149, 131.05, 90, 179, 129.14, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 197.0, 0.0, 132.0, 0.0, 728.0, 0.0, 317.0, 6.351, 150
1, P-SLICE,    5, 32.46,      17192, 0,-1629610.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.00%,  0.15%, 0.44%,  0.10%,  0.84%, 1.08%,  0.74%,  6.41%, 0.00%,  0.54%,  1.04%,  1.04%,  2.91%,  0.00%,  0.10%,  0.10%,  0.64%, 15.09%, 17.06%, 17.31%, 34.37%, 27587.84, 1917.16, 6456.46, 31744.15 , 15, 252, 117.22, 76, 150, 131.04, 90, 179, 129.16, 0.00%, 96.53%,0.00%, 0.63%, 2.84%, 0.00%, 0.00%, 0.00%, 0.00%, 1.07%, 93.30%,0.00%, 2.14%, 3.49%, 0.00%, 0.00%, 0.00%, 0.00%, 6.97%, 87.81%,0.00%, 2.24%, 2.99%, 0.00%, 0.00%, 0.00%, 0.00%, 17.84%, 75.85%,0.00%, 4.49%, 1.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 210.0, 52.0, 69.0, 62.0, 32.0, 44.0, 295.0, 2.238, 40
2, B-SLICE,    3, 34.38,       8352, 0,-1624587.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.43%,  2.06%,  4.34%,  9.66%,  0.00%,  0.65%,  0.54%,  0.87%, 39.09%, 30.51%,  8.03%,  3.80%, 27280.76, 1898.97, 6473.41, 27987.64 , 18, 252, 117.16, 76, 149, 131.05, 91, 179, 129.15, 0.00%, 98.90%,0.00%, 0.27%, 0.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.79%,0.00%, 2.94%, 3.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.39%,0.00%, 22.69%, 10.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.58%,0.00%, 50.76%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 227.0, 82.0, 52.0, 22.0, 33.0, 12.0, 327.0, 2.973, 30
3, b-SLICE,    1, 34.33,       6264, 0,4.75,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.50%,  2.11%,  1.36%,  8.92%,  0.00%,  0.50%,  1.12%,  0.74%, 47.34%, 26.52%,  3.72%,  7.19%, 27120.74, 1900.53, 6447.20, 27643.47 , 18, 252, 117.10, 76, 149, 131.05, 90, 179, 129.14, 0.00%, 98.96%,0.00%, 0.00%, 1.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.77%,0.00%, 5.53%, 1.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.00%,0.00%, 20.00%, 2.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.06%,0.00%, 43.38%, 9.56%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 239.0, 90.0, 47.0, 10.0, 28.0, 2.0, 359.0, 3.218, 42
4, b-SLICE,    2, 34.32,       6272, 0,-1623000.00,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.37%,  2.21%,  1.96%,  8.21%,  0.00%,  0.25%,  0.37%,  1.10%, 46.94%, 26.23%,  4.04%,  8.33%, 27206.48, 1893.62, 6460.73, 27598.98 , 19, 252, 117.13, 76, 149, 131.05, 91, 179, 129.15, 0.00%, 99.22%,0.00%, 0.26%, 0.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.31%,0.00%, 5.56%, 2.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.23%,0.00%, 23.08%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.47%,0.00%, 37.50%, 9.03%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 60.0, 9.0, 30.0, 1.0, 364.0, 3.413, 28
5, b-SLICE,    4, 34.64,       6064, 0,-1626905.00,29.600,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.27%,  2.28%,  2.15%,  9.41%,  0.00%,  0.13%,  0.54%,  0.40%, 53.76%, 20.97%,  2.69%,  7.39%, 27318.79, 1895.34, 6501.96, 27749.60 , 14, 252, 117.19, 76, 149, 131.04, 91, 179, 129.15, 0.00%, 99.75%,0.00%, 0.25%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 90.23%,0.00%, 5.17%, 4.60%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 60.00%,0.00%, 30.00%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.31%,0.00%, 40.62%, 14.06%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 40.0, 0.0, 48.0, 0.0, 354.0, 5.736, 72
6, P-SLICE,   10, 32.37,      14264, 0,-1634219.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.09%,  0.00%,  0.37%, 0.00%,  0.09%,  1.10%, 0.73%,  0.55%,  4.47%, 0.00%,  1.64%,  1.83%,  3.65%,  7.95%,  0.00%,  0.09%,  0.27%,  1.55%, 29.59%, 32.51%,  7.95%,  5.57%, 27689.94, 1904.15, 6523.24, 30117.12 , 17, 252, 117.35, 76, 149, 131.03, 90, 179, 129.17, 0.00%, 94.74%,0.00%, 1.17%, 4.09%, 0.00%, 0.00%, 0.00%, 0.00%, 1.31%, 93.46%,0.00%, 1.83%, 3.40%, 0.00%, 0.00%, 0.00%, 0.00%, 9.09%, 62.94%,0.00%, 16.08%, 11.89%, 0.00%, 0.00%, 0.00%, 0.00%, 27.63%, 34.21%,0.00%, 28.51%, 9.65%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 33.0, 0.0, 41.0, 0.0, 322.0, 4.584, 86
7, B-SLICE,    8, 34.54,       7480, 0,-1632166.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.47%,  2.37%,  3.44%, 10.68%,  0.00%,  0.71%,  0.47%,  2.14%, 44.48%, 27.76%,  3.20%,  4.27%, 27410.33, 1885.33, 6561.04, 27889.76 , 17, 252, 117.30, 76, 149, 131.03, 90, 179, 129.16, 0.00%, 98.94%,0.00%, 0.00%, 1.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.31%,0.00%, 3.85%, 3.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.67%,0.00%, 41.67%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.50%,0.00%, 52.78%, 9.72%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 27.0, 1.0, 38.0, 0.0, 346.0, 6.331, 126
8, b-SLICE,    6, 34.74,       2208, 0,59.53,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.16%,  1.87%,  0.78%,  0.16%,  0.00%,  0.00%,  0.00%,  0.00%, 60.90%, 33.49%,  2.18%,  0.47%, 27253.89, 1893.31, 6562.73, 27291.96 , 15, 252, 117.22, 76, 150, 131.04, 90, 179, 129.16, 0.00%, 99.74%,0.00%, 0.00%, 0.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.71%,0.00%, 1.32%, 3.96%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 73.68%,0.00%, 10.53%, 15.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 26.0, 3.0, 31.0, 0.0, 367.0, 6.267, 90
9, b-SLICE,    7, 34.45,       5848, 0,-1631940.00,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.26%,  1.42%,  2.45%,  7.59%,  0.00%,  1.03%,  2.06%,  3.09%, 49.81%, 26.13%,  3.47%,  2.70%, 27349.26, 1885.71, 6567.73, 27783.30 , 16, 252, 117.24, 76, 150, 131.04, 90, 179, 129.16, 0.00%, 99.48%,0.00%, 0.00%, 0.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.05%,0.00%, 4.95%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.35%,0.00%, 24.19%, 6.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.27%,0.00%, 39.42%, 17.31%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 29.0, 0.0, 40.0, 0.0, 375.0, 6.033, 69
